2024/11/23 14:16:47 | Smartwatch1 | 20 | 6000 | home
2024/11/23 14:16:55 | Smartwatch4 | 49 | 7105 | home
2024/11/23 14:17:03 | Smartwatch3 | 20 | 2200 | home
2024/11/23 14:17:04 | Smartwatch3 | 1 | 110 | home
2024/11/23 14:17:05 | Smartwatch3 | 1 | 110 | home
2024/11/23 14:17:07 | Smartwatch1 | 1 | 300 | home
2024/11/23 14:17:09 | Smartwatch5 | 1 | 195 | home
2024/11/23 14:17:15 | Smartwatch5 | 48 | 9360 | home
2024/11/23 14:17:16 | Smartwatch5 | 1 | 195 | home
2024/11/23 14:17:21 | Smartwatch6 | 67 | 11390 | home
2024/11/23 14:17:22 | Smartwatch2 | 1 | 125 | home
2024/11/23 14:17:23 | Smartwatch6 | 1 | 170 | home
2024/11/23 14:17:24 | Smartwatch6 | 1 | 170 | home
2024/11/23 14:17:25 | Smartwatch4 | 1 | 145 | home
2024/11/23 14:17:27 | Smartwatch1 | 1 | 300 | home
2024/11/23 14:17:34 | Smartwatch2 | 1 | 125 | watches
2024/11/23 14:17:38 | Smartwatch2 | 23 | 2875 | watches
2024/11/23 14:17:44 | Smartwatch3 | 56 | 6160 | watches
2024/11/23 14:17:53 | Smartwatch4 | 27 | 3915 | watches
2024/11/23 14:17:55 | Smartwatch1 | 1 | 300 | watches
2024/11/23 14:18:00 | Smartwatch5 | 1 | 195 | home
2024/11/23 14:18:01 | Smartwatch1 | 1 | 300 | home
2024/11/23 14:18:05 | Smartwatch5 | 47 | 9165 | home
2024/11/23 14:18:12 | Smartwatch2 | 80 | 10000 | home
2024/11/23 14:18:17 | Smartwatch1 | 4 | 1200 | home
2024/11/23 14:18:22 | Smartwatch6 | 1 | 170 | watches
2024/11/23 14:18:23 | Smartwatch5 | 1 | 195 | watches
2024/11/23 14:18:26 | Smartwatch1 | 1 | 300 | watches
2024/11/23 14:18:29 | Smartwatch1 | 8 | 2400 | watches
2024/11/23 14:18:38 | Smartwatch3 | 13 | 1430 | watches
